id,name,email,date_of_birth,signup_date,subscription_status,age,status
309,Danny Stout,hernandezteresa@example.net,16/04/1934,26/07/2020,inactive,91,inactive
311,Kelly Lucas,dayamanda@example.net,03/06/1970,29/09/2023,inactive,55,inactive
312,Angela Rose,schmidtsheila@example.org,15/03/1981,30/04/2024,active,44,active
314,Jennifer Garcia,ryan63@example.net,06/07/1939,20/09/2021,active,86,active
316,Michele Myers,charlesshepherd@example.net,27/08/1936,11/06/2023,active,89,active
317,Rodney Vincent,angelarollins@example.com,16/12/1969,11/04/2021,active,55,active
320,Joshua Cruz,james80@example.org,20/05/1948,01/05/2020,inactive,77,inactive
324,Stacy Sims,destinybradford@example.org,26/09/1970,14/07/2021,active,55,active
326,Pamela Robinson,lindsay85@example.net,28/06/1967,27/12/2022,active,58,active
328,Richard Sanchez,summersdavid@example.com,24/08/1959,04/03/2022,inactive,66,inactive
331,Mark Hampton,angela13@example.org,15/03/1940,10/01/2023,inactive,85,inactive
333,Alejandro Baker,zwatts@example.com,18/03/1934,10/02/2020,active,91,active
335,Brian Branch,blakedavid@example.com,05/11/2004,01/12/2020,inactive,20,inactive
342,Kristina Bautista,ryanreynolds@example.org,05/04/2001,02/01/2022,inactive,24,inactive
344,Jeffery Parker Jr.,whitejacqueline@example.com,24/07/1970,17/08/2020,active,55,active
355,Brian Turner,richard63@example.com,07/10/1991,08/05/2024,inactive,33,inactive
364,Alexandra Holt,rmurphy@example.org,04/11/1980,18/04/2023,inactive,44,inactive
370,Sheri Gonzales,richardcampbell@example.net,01/10/1955,25/10/2020,active,70,active
372,Diana Vance,estradacarrie@example.org,09/06/1964,09/03/2021,active,61,active
381,Elizabeth Kelley,brooksmartin@example.net,17/08/1938,23/05/2021,inactive,87,inactive
383,Patricia Snow,qbauer@example.org,05/09/1989,29/04/2020,active,36,active
384,Mark Harrison,maxmurphy@example.org,15/01/1959,24/04/2020,inactive,66,inactive
386,Karen Townsend,ugonzalez@example.net,02/05/1945,01/02/2023,inactive,80,inactive
390,Eric Salinas,jessica45@example.com,07/05/1940,29/08/2021,inactive,85,inactive
395,Susan Nguyen,henryandrea@example.net,29/04/1951,15/10/2023,active,74,active
406,Yolanda Mccullough,ypotter@example.com,10/02/2002,16/01/2021,active,23,active
409,Walter Cowan,kmills@example.com,08/01/1982,22/01/2022,inactive,43,inactive
411,Robert Tyler,michael43@example.org,29/12/1989,14/03/2020,inactive,35,inactive
417,Bradley Cole MD,scottlee@example.com,11/09/1999,18/01/2023,active,26,active
422,Nicholas Ramirez,andrewparker@example.net,07/05/1941,12/04/2020,active,84,active
423,Juan Frost,matthew76@example.com,03/09/1996,09/03/2023,active,29,active
433,Kelli Michael,tammyswanson@example.org,07/12/1942,07/11/2023,inactive,82,inactive
436,Lisa Butler,weissseth@example.org,19/04/1944,23/09/2022,inactive,81,inactive
446,John Giles,miranda80@example.com,22/09/1963,24/03/2021,inactive,62,inactive
448,Robert Carter,xrogers@example.net,10/08/1949,09/10/2020,inactive,76,inactive
457,Tiffany Torres,hchristian@example.com,18/01/1963,14/04/2023,active,62,active
467,Jonathan Thompson,jillianmiller@example.com,11/09/1953,25/06/2023,inactive,72,inactive
471,Linda Mckee,crystaljefferson@example.com,09/01/1981,15/03/2024,active,44,active
472,Isaac Thompson,hoffmanwilliam@example.org,18/01/1943,11/02/2024,active,82,active
474,Charles Bailey,chrischaney@example.org,25/07/1941,22/03/2024,inactive,84,inactive
475,Michael Cook,john03@example.com,14/01/1972,04/06/2023,active,53,active
485,Clayton Robinson,schneidersierra@example.com,14/04/1979,10/04/2020,active,46,active
495,Andre Velasquez,ruizsteven@example.org,20/02/1980,27/09/2023,inactive,45,inactive
497,Andrew Wu,mariapatel@example.com,06/11/1950,23/04/2023,active,74,active
498,Jacqueline Bartlett,melissaowens@example.com,11/09/1984,14/03/2024,inactive,41,inactive
507,Lauren Miller,castilloamanda@example.com,03/03/1942,01/05/2020,active,83,active
508,Mark Chapman,castanedafelicia@example.net,23/01/1994,04/02/2020,active,31,active
514,Keith Robinson,kaylawilliams@example.org,10/12/1991,11/10/2022,inactive,33,inactive
521,Michael Rodriguez,ramosvirginia@example.net,07/06/1970,04/09/2020,active,55,active
533,Robin Young,booneanne@example.net,13/11/1982,14/12/2021,inactive,42,inactive
536,Christina Crawford,millersuzanne@example.net,29/06/1992,29/10/2021,inactive,33,inactive
539,Robert Smith,lward@example.com,23/02/1962,25/01/2021,inactive,63,inactive
543,Karla Hart,kbrown@example.org,10/12/1939,10/03/2020,inactive,85,inactive
548,Claire Bonilla,harrisdominic@example.org,22/11/1993,28/02/2022,active,31,active
551,Sean Pena,mariedavis@example.net,01/06/1943,13/02/2022,inactive,82,inactive
561,Frederick Brown,newtonhaley@example.org,28/05/1983,15/10/2022,active,42,active
564,Nicholas Anderson,anthony36@example.org,06/02/1946,18/03/2022,inactive,79,inactive
571,Lee Salazar,xharper@example.org,25/03/1999,04/03/2023,active,26,active
578,Connie Owens,stewartaustin@example.com,29/12/1980,16/01/2022,inactive,44,inactive
588,Phillip Mathis,nbrown@example.com,09/05/1996,27/12/2020,inactive,29,inactive
593,Shannon Clark,wbyrd@example.net,20/01/1973,06/10/2022,active,52,active
596,Paul Dunlap,hansoncheryl@example.com,14/06/1956,23/08/2021,active,69,active
602,Linda Macdonald,turnerscott@example.com,25/09/1980,05/04/2021,active,45,active
611,Sarah Hall PhD,vangbrandon@example.org,08/02/1975,14/06/2020,inactive,50,inactive
613,David Hernandez,douglasjones@example.net,01/03/1936,23/03/2023,inactive,89,inactive
623,Rebecca Cline,psnow@example.com,27/01/1981,18/02/2020,active,44,active
631,Sarah Powell,zhodges@example.com,19/03/2001,10/11/2023,active,24,active
632,Gregory Harris,kyle69@example.org,29/06/1942,05/05/2024,active,83,active
638,Todd Bell,michelle30@example.org,06/03/1973,25/11/2021,inactive,52,inactive
640,Barbara Wood,zphillips@example.com,22/05/1983,26/03/2024,inactive,42,inactive
641,Adam Rhodes,jbaker@example.net,19/12/1992,22/12/2023,active,32,active
647,Angela Gordon,richard24@example.net,14/01/1963,03/09/2021,inactive,62,inactive
648,Andrea Duran,hchristian@example.net,28/06/1962,28/05/2020,active,63,active
651,Aaron Ellis,cherylerickson@example.net,13/12/1971,17/08/2021,active,53,active
658,Matthew Thompson,clayton82@example.com,28/11/1949,03/09/2020,active,75,active
664,Paul Moore,laurawaters@example.net,05/07/1967,06/07/2022,inactive,58,inactive
669,Amy King,lawrencebanks@example.org,13/10/1971,20/04/2020,active,53,active
675,Jeffrey Le,antonio90@example.com,14/11/1971,29/09/2021,inactive,53,inactive
678,Alejandro Martinez,deborahdorsey@example.org,12/12/1997,28/08/2023,inactive,27,inactive
684,Caitlyn Hoffman,taylorjones@example.org,12/07/1997,03/05/2020,inactive,28,inactive
689,Andrea Irwin,romerolisa@example.org,23/01/1960,31/10/2023,inactive,65,inactive
693,Andrea Bradley,khoffman@example.com,04/01/2001,16/07/2021,inactive,24,inactive
695,Cody Hancock,masseytracy@example.org,11/09/1957,16/06/2023,active,68,active
700,Nicholas Garcia,daniellejones@example.org,20/03/1948,24/01/2020,inactive,77,inactive
702,Lisa Martinez,kenneththompson@example.org,24/09/1980,14/01/2024,active,45,active
703,Karen Harris,nathanielcarter@example.net,29/03/1936,26/04/2022,inactive,89,inactive
705,Chris Turner,bucklisa@example.net,11/07/1941,05/06/2022,active,84,active
710,Tammy Williams,lisa03@example.com,08/10/1961,07/12/2022,active,63,active
711,Rebecca Cantu,wheelermark@example.com,13/03/1943,09/07/2023,inactive,82,inactive
716,Heather Bennett,scottjonathan@example.net,17/07/1960,21/06/2022,inactive,65,inactive
718,Nicole Chen,lmcdonald@example.net,27/12/1982,19/04/2023,inactive,42,inactive
726,Justin Johnson,hendersonconnor@example.net,12/10/1953,13/05/2020,inactive,71,inactive
728,Lori Houston,belljennifer@example.org,01/10/1941,23/06/2023,inactive,84,inactive
730,Laurie Watts,youngjoshua@example.org,09/02/1978,13/02/2022,active,47,active
735,Angela Jones,melissalopez@example.net,12/03/1951,01/05/2024,active,74,active
740,Thomas Chan,derek47@example.com,30/09/1959,21/09/2022,inactive,66,inactive
741,Brian Wagner,williamweaver@example.net,29/05/1964,23/09/2020,active,61,active
743,Kylie Wilson,wuchristopher@example.net,06/01/1999,16/10/2020,inactive,26,inactive
751,Tiffany Wilson,taralopez@example.com,11/01/1946,30/05/2023,inactive,79,inactive
752,Jessica Huerta,robert85@example.net,11/06/1939,13/02/2024,active,86,active
756,Joseph Thomas,zhenry@example.net,31/05/1959,16/04/2021,active,66,active
761,Gary Johnson,brownchristopher@example.com,29/09/1956,24/01/2024,active,69,active
765,William Benson,dorothylewis@example.net,16/04/1959,25/08/2023,inactive,66,inactive
770,Lori White,sanchezkatherine@example.org,03/10/1941,13/01/2023,inactive,84,inactive
777,Alexis Miles,briananderson@example.org,18/03/1968,30/10/2022,active,57,active
784,Taylor Martinez,richard75@example.org,28/06/1966,17/03/2021,inactive,59,inactive
787,Patricia Hall,qhall@example.com,16/12/1952,02/05/2024,inactive,72,inactive
788,Robert Conrad,kellyrichard@example.net,27/02/1978,07/11/2021,active,47,active
793,Jacob Mathews,michaelhawkins@example.org,07/05/1959,22/03/2020,active,66,active
794,Dennis Williams,jordan66@example.net,19/07/1968,21/09/2020,active,57,active
795,Brandon Smith,brittney20@example.com,22/11/1946,26/11/2023,active,78,active
797,Joseph Cabrera,mortiz@example.net,24/08/1935,22/11/2023,inactive,90,inactive
798,Amber Harris,hsanchez@example.org,25/11/1960,28/08/2021,inactive,64,inactive
809,William Foster,kcollins@example.net,04/11/2003,30/06/2023,active,21,active
812,Joseph Sanders,shannonosborne@example.net,22/01/1948,20/07/2022,active,77,active
813,Tanya Hess,jlin@example.com,08/06/1973,10/10/2020,active,52,active
816,Justin Butler,jenniferjohnson@example.org,02/08/1975,22/09/2022,inactive,50,inactive
824,Susan Davis,ffernandez@example.com,24/05/1941,06/09/2020,active,84,active
825,Sean Hardy,xcastillo@example.net,14/02/2004,19/08/2021,inactive,21,inactive
828,Alan Johnson,reevestiffany@example.com,10/09/1975,31/08/2021,inactive,50,inactive
832,Peter Rollins,carrie64@example.org,14/10/1976,17/11/2020,active,48,active
837,John Sellers,hallisaac@example.com,09/11/1975,29/03/2023,active,49,active
839,Miguel Ortiz,wmatthews@example.com,16/12/1952,25/01/2021,inactive,72,inactive
840,Donna Campos,richard27@example.org,02/11/1994,20/03/2023,inactive,30,inactive
844,Jessica Sherman,treid@example.net,28/07/1940,17/09/2022,active,85,active
848,Susan Walsh,john54@example.net,13/04/1954,11/05/2022,inactive,71,inactive
858,Donald Terry,sabrina40@example.net,31/01/1996,10/07/2022,active,29,active
862,Bryan Sawyer,reedangel@example.org,10/03/1988,22/07/2023,active,37,active
865,Christine Howard,martinezmichael@example.org,30/12/1974,07/03/2021,inactive,50,inactive
874,Alison Matthews,mnewman@example.net,02/07/1959,07/12/2020,active,66,active
880,Joshua Rogers,dannywhite@example.org,04/10/1993,14/11/2022,active,31,active
883,Chelsea Jones,bvillegas@example.com,27/11/2002,17/12/2020,active,22,active
884,Charles Davis,wjimenez@example.org,05/08/1942,06/02/2023,inactive,83,inactive
889,James Torres,thorntontamara@example.net,21/11/1980,07/09/2022,active,44,active
890,Vanessa Rhodes,jimenezlisa@example.com,02/01/1988,15/06/2022,inactive,37,inactive
892,Ana Evans,robert49@example.org,18/11/1968,04/05/2020,inactive,56,inactive
899,Matthew Holt,collinsronald@example.org,29/05/1966,22/02/2021,active,59,active
904,Tara Ho,watsonadam@example.net,06/02/1985,30/08/2022,inactive,40,inactive
905,Nathaniel Sparks,wfernandez@example.org,09/11/1952,22/12/2023,inactive,72,inactive
915,Jeffery Higgins,nolson@example.org,15/05/1997,07/05/2024,active,28,active
916,Jennifer Harris,billybarron@example.com,07/11/1942,31/07/2022,active,82,active
922,Alexa Lewis,james49@example.net,15/06/1967,19/12/2023,active,58,active
923,Peter Merritt,abigaildaugherty@example.org,15/03/1959,02/03/2020,active,66,active
927,Alexandra Werner,joseadams@example.com,09/05/1992,25/02/2024,inactive,33,inactive
930,Joel Welch,jill32@example.com,31/08/1946,25/04/2023,inactive,79,inactive
945,Austin Freeman,khoover@example.net,23/08/1948,28/11/2021,inactive,77,inactive
946,Molly Mcclain,clintonvaldez@example.com,20/11/1974,08/12/2021,active,50,active
952,Aaron Johnson,nguyenrachel@example.org,13/10/1953,20/02/2023,inactive,71,inactive
960,Christopher Maldonado,rmiller@example.net,10/02/1941,01/08/2022,inactive,84,inactive
962,Amanda Richards,sgutierrez@example.com,18/09/1986,08/11/2022,inactive,39,inactive
964,Eddie Johnson,ashlee08@example.net,12/03/1958,23/03/2021,active,67,active
969,Richard Porter,bbrown@example.org,30/07/1981,18/09/2022,active,44,active
980,Gregory Flores,hernandezlaura@example.net,27/11/1979,25/05/2020,inactive,45,inactive
982,Paula Andrews,psmith@example.com,25/10/1945,21/07/2020,active,79,active
996,Amanda Flores,charlesduncan@example.org,30/06/1938,11/02/2023,inactive,87,inactive
998,Paul Russo,njames@example.com,26/04/1989,29/01/2020,active,36,active
1012,Amanda Terry,ygarner@example.net,30/12/1951,07/11/2020,active,73,active
1013,Bill Madden,jeffrey95@example.net,24/08/1962,10/10/2020,inactive,63,inactive
1015,Jennifer Santos,fjones@example.com,24/12/1958,30/10/2023,inactive,66,inactive
1016,David Greene,alexandria87@example.org,31/05/1958,19/07/2022,active,67,active
1020,Charles Schultz,mackenzie59@example.com,26/05/1963,03/02/2023,inactive,62,inactive
1022,Sarah Brooks,martinchristopher@example.net,04/04/1972,22/09/2021,active,53,active
1031,David Alexander,johnsoncraig@example.org,13/04/1951,17/10/2021,inactive,74,inactive
1036,Audrey Howard,andrew34@example.net,05/10/1950,11/07/2022,inactive,75,inactive
1038,Michael Evans,michaelbentley@example.org,26/05/1961,04/07/2021,active,64,active
1039,Sharon Walton,andrew81@example.net,01/11/1938,27/01/2020,inactive,86,inactive
1040,Dr. David King,kpage@example.net,20/07/1950,21/02/2024,active,75,active
1041,Dorothy Bennett,jennifer57@example.org,16/09/1961,01/09/2020,active,64,active
1044,Julie Gray,jennaknox@example.com,03/03/1949,05/02/2023,inactive,76,inactive
1048,Craig Owens,ricky08@example.org,10/12/1947,20/03/2023,active,77,active
1050,Kevin Ingram,fosterkelsey@example.org,24/08/1968,25/11/2020,inactive,57,inactive
1053,Tiffany Martin,nancy85@example.org,08/09/1986,17/08/2020,inactive,39,inactive
1055,Ashley Griffin,tyler59@example.net,06/05/1996,01/03/2022,inactive,29,inactive
1058,William White,ngonzalez@example.net,30/12/1987,02/01/2020,inactive,37,inactive
1059,Theodore Weaver,marcusglenn@example.org,11/08/1939,28/09/2022,active,86,active
1060,Christopher Pineda,tiffanyreynolds@example.net,07/10/1935,18/04/2021,inactive,90,inactive
1061,James Barajas,troytaylor@example.org,02/10/1981,30/12/2020,inactive,43,inactive
1062,Michelle Atkinson,kylesanders@example.org,12/12/1952,03/12/2020,inactive,72,inactive
1068,Christina Marshall,stephanie66@example.org,26/06/1967,09/12/2022,active,58,active
1071,Donald Haas,patricia27@example.org,20/07/1941,02/08/2023,inactive,84,inactive
1072,Karen Brown,wademonica@example.org,31/03/2000,05/10/2022,inactive,25,inactive
1075,Jenna Montes,ybell@example.net,23/11/1966,16/05/2024,active,58,active
1077,Wendy Davis DDS,mccallvictoria@example.net,02/10/1987,24/01/2022,active,37,active
1079,Matthew Cunningham IV,fischerrichard@example.net,16/10/1974,08/02/2024,active,50,active
1082,Billy Diaz,davieskathy@example.com,28/01/1965,30/07/2020,active,60,active
1084,Christopher Rhodes,ndavis@example.com,19/04/2006,17/07/2022,inactive,19,inactive
1085,Daniel Kaiser,jamesdodson@example.net,12/05/1979,12/06/2020,inactive,46,inactive
1093,Joe Fry,gsilva@example.com,05/08/1935,29/12/2022,active,90,active
1096,Angel Pollard,dennissamuel@example.org,01/10/1974,13/03/2020,active,51,active
1102,James Flores,fernandezpatrick@example.net,24/05/2001,29/04/2023,active,24,active
1103,Jessica Woods,anne34@example.net,10/03/1983,26/02/2023,active,42,active
1104,James Colon,stefanie88@example.org,04/04/1990,15/04/2020,inactive,35,inactive
1108,Paula Martinez,matthewscott@example.com,04/03/1999,31/05/2023,active,26,active
1111,John Bonilla,zmerritt@example.net,18/09/1999,26/11/2023,inactive,26,inactive
1126,Colin Little,leah70@example.com,20/03/1948,28/03/2022,active,77,active
1133,Daniel Reilly,knielsen@example.net,27/03/1972,22/12/2022,inactive,53,inactive
1135,Andrea Wolf,tammymccullough@example.com,20/07/1937,22/08/2021,active,88,active
1157,Lance Murphy,jackmanning@example.com,14/12/1977,20/06/2022,active,47,active
1162,Lynn Freeman,michael54@example.com,23/05/1999,22/10/2023,inactive,26,inactive
1164,Linda Weeks,samanthamcfarland@example.org,06/01/1955,27/11/2023,inactive,70,inactive
1165,Robert Smith,anna00@example.org,10/06/1991,18/03/2023,active,34,active
1167,Gerald Lewis,johnjones@example.org,28/10/1974,07/10/2020,inactive,50,inactive
1168,Antonio Braun,carly92@example.org,24/05/2001,07/04/2020,active,24,active
1170,Michael Noble,andersontyler@example.org,07/08/1973,27/03/2020,active,52,active
1172,Margaret Romero,tamaramiles@example.org,28/08/1940,03/12/2021,active,85,active
1177,Cynthia Diaz,alisonjones@example.net,26/12/1970,07/12/2020,active,54,active
1178,Shannon Patterson,fieldsalexander@example.org,03/01/2002,17/07/2020,active,23,active
1191,Mallory Johnson,christine32@example.com,15/11/1959,13/02/2020,inactive,65,inactive
1192,Jennifer Elliott,lucasgeorge@example.com,12/08/1971,10/01/2022,inactive,54,inactive
1201,Alex Lopez,teresaoneill@example.com,07/03/1957,20/01/2020,active,68,active
1206,Stephen Brown,nathanrodriguez@example.net,29/02/1972,15/10/2023,inactive,53,inactive
1209,Catherine Sanchez,zdennis@example.net,30/03/1986,15/10/2023,active,39,active
1214,Christopher Adams,richard43@example.org,08/03/1943,06/11/2020,active,82,active
1232,Jimmy Beck,jenniferstout@example.org,30/01/1960,18/06/2023,active,65,active
1234,Amy Ross,kristinnovak@example.org,17/11/1960,18/03/2021,inactive,64,inactive
1236,Christopher Armstrong,nreynolds@example.com,26/06/1937,22/09/2020,active,88,active
1245,Joshua Beard,hwilliams@example.com,20/04/1937,30/05/2023,active,88,active
1249,Samantha Smith,tiffany32@example.com,13/09/1980,18/02/2022,inactive,45,inactive
1250,Jessica Newton,martinezjuan@example.org,09/08/1989,22/03/2023,active,36,active
1256,Mark Bernard DDS,marklee@example.net,15/09/1992,27/04/2022,active,33,active
1257,Sara Mcdaniel,michaelmason@example.com,17/12/1946,14/07/2021,inactive,78,inactive
1258,Stacy Hanson,chad49@example.com,13/11/1952,10/01/2022,active,72,active
1260,Ann Flores,hpowers@example.org,25/02/2006,11/04/2024,inactive,19,inactive
1263,Susan Flores,james16@example.org,13/08/1934,29/12/2020,inactive,91,inactive
1265,Debra Erickson,tsullivan@example.org,17/05/2006,07/10/2021,active,19,active
1268,James Brooks,dmorris@example.net,29/06/2001,24/04/2023,inactive,24,inactive
1272,Steven Le,ericafuentes@example.com,11/04/1985,09/11/2023,active,40,active
1276,Natasha Davenport,taylorwu@example.net,11/10/1934,21/02/2023,inactive,91,inactive
1279,Todd Proctor,pittmanhayden@example.net,21/01/1951,01/03/2022,active,74,active
1281,Janet Neal,andrewjones@example.org,17/10/1960,07/05/2023,active,64,active
1282,David Castillo,donnachoi@example.net,30/05/1983,18/08/2022,inactive,42,inactive
1284,Steven Reed,hoffmanjennifer@example.net,29/12/1936,23/10/2020,active,88,active
1285,Kimberly Steele,julie16@example.com,04/01/1942,03/01/2024,active,83,active
1288,Laura Walter,allisoncruz@example.net,24/07/1943,14/04/2020,active,82,active
1291,Lisa Andrews,susanlewis@example.net,14/01/1979,16/09/2020,active,46,active
1299,Kyle Caldwell,crawfordmallory@example.com,03/02/1991,17/06/2021,inactive,34,inactive
1302,Jacob Moore DDS,jscott@example.org,26/11/1944,07/02/2020,active,80,active
1303,Jesse Osborn,coopereric@example.net,02/04/1962,03/10/2021,inactive,63,inactive
1319,Trevor Tate,vchen@example.org,17/01/1953,07/05/2024,inactive,72,inactive
1321,Paula Valdez,emily11@example.com,03/07/1945,13/08/2021,inactive,80,inactive
1338,Shelly Ellis,darren31@example.com,09/11/1986,14/04/2020,inactive,38,inactive
1340,Stanley Bailey,williamselizabeth@example.net,27/01/1949,30/04/2020,inactive,76,inactive
1344,Angela Harper,dillonwolf@example.net,16/10/1934,21/05/2023,active,90,active
1347,Ruth Knight,james02@example.com,19/05/1968,31/05/2021,active,57,active
1348,William Montgomery,princejenna@example.net,24/03/1980,05/12/2023,active,45,active
1350,Jennifer Harrison,evaldez@example.com,16/04/1955,23/09/2021,inactive,70,inactive
1356,Jennifer Jennings,nburton@example.org,09/04/1986,14/03/2024,active,39,active
1360,Erin Knox,sanderson@example.org,22/03/1987,27/10/2021,inactive,38,inactive
1363,Charles Ponce,hoganbrandon@example.org,10/07/1938,28/08/2022,inactive,87,inactive
1364,Jennifer Lopez,osbornetroy@example.net,18/10/1989,01/02/2023,active,35,active
1365,Christina James,uturner@example.org,29/09/1965,14/03/2020,inactive,60,inactive
1370,Shelley York,steinsarah@example.com,18/03/2005,17/01/2021,inactive,20,inactive
1372,Victoria Love,nweeks@example.org,11/04/1953,06/03/2021,active,72,active
1374,Christine Farmer,gregory57@example.org,26/07/1973,25/02/2022,active,52,active
1378,Christina Walker,jesushull@example.org,11/12/1965,28/10/2020,inactive,59,inactive
1380,Paul Acevedo,douglasgarcia@example.org,17/02/2003,27/09/2021,inactive,22,inactive
1387,Shane Crawford,cedwards@example.com,09/01/1965,26/08/2023,inactive,60,inactive
1391,Richard Pineda,hammondmichael@example.com,25/01/1943,18/02/2023,inactive,82,inactive
1395,Kyle Perry,michelle63@example.org,06/03/1947,08/09/2023,active,78,active
1396,Stephen Barnes,hernandezrandy@example.com,15/09/1951,14/08/2020,active,74,active
